1,0.09,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2420.00,120.00,420.00,600.00,600.00,600.00,460.00,520.00,600.00,600.00,660.00,1980.00,600.00,600.00,480.00,40.00,20.00,540.00,2160.00,600.00
29,0.75,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,1564.00,1020.00,170.00,1020.00,1020.00,3944.00,1020.00,4080.00,476.00,1020.00,1020.00,1020.00,1020.00,1020.00,3400.00,68.00,3910.00,1020.00,510.00,34.00,986.00,68.00,1020.00,1020.00,3604.00,238.00,986.00,1020.00
30,0.75,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,1020.00,1020.00,476.00,4284.00,918.00,204.00,2312.00,1020.00,3706.00,3604.00,1020.00,34.00,1020.00,1020.00,1020.00,1020.00,2992.00,1122.00,4182.00,1020.00,1020.00,612.00,3774.00,748.00,1020.00,1020.00,1020.00,1020.00
31,0.76,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,986.00,1088.00,1020.00,1020.00,1020.00,1020.00,1054.00,510.00,646.00,1020.00,918.00,1020.00,102.00,1020.00,1020.00,816.00,1020.00,986.00,1020.00,2346.00,1020.00,204.00,1020.00,4080.00,4182.00,1020.00,2176.00,1020.00
32,0.76,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,4046.00,1020.00,1020.00,4828.00,1020.00,1020.00,3604.00,1020.00,1020.00,6188.00,986.00,1020.00,1020.00,1020.00,1020.00,986.00,3128.00,646.00,476.00,34.00,3740.00,1020.00,3740.00,204.00,952.00,1020.00,34.00,1020.00
33,0.76,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,646.00,986.00,34.00,34.00,170.00,3502.00,1020.00,986.00,136.00,238.00,102.00,1020.00,442.00,3434.00,1020.00,272.00,4250.00,1020.00,952.00,680.00,918.00,884.00,102.00,986.00,374.00,1020.00,986.00,136.00
34,0.76,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,4148.00,1020.00,816.00,986.00,850.00,952.00,442.00,3910.00,3502.00,952.00,3094.00,782.00,3264.00,1020.00,1088.00,4216.00,1020.00,782.00,68.00,4080.00,714.00,3332.00,204.00,1020.00,3774.00,5474.00,986.00,1020.00
35,0.77,0.56,0.63,0.18,0.29,0.46,0.26,280.88,0.29,28,34.0,986.00,1088.00,476.00,816.00,986.00,714.00,1020.00,510.00,1020.00,4284.00,748.00,1020.00,1020.00,34.00,4284.00,952.00,1020.00,4318.00,918.00,1020.00,4046.00,1020.00,986.00,884.00,1020.00,4148.00,1020.00,1020.00
36,0.77,17.28,14.86,1.46,2.34,3.67,14.86,2247.03,13.10,29,35.0,490.00,735.00,840.00,1050.00,1155.00,1050.00,70.00,840.00,560.00,1050.00,315.00,1050.00,1050.00,1050.00,1050.00,1050.00,1050.00,1050.00,105.00,840.00,1050.00,1050.00,420.00,175.00,1050.00,3010.00,1050.00,4130.00,1225.00
37,0.78,17.28,14.86,1.46,2.34,3.67,14.86,2247.03,13.10,29,35.0,1050.00,245.00,1050.00,4305.00,1050.00,1050.00,1050.00,630.00,1050.00,805.00,1050.00,3465.00,1050.00,1050.00,1155.00,980.00,1050.00,1015.00,770.00,280.00,945.00,1050.00,980.00,280.00,4270.00,3780.00,770.00,70.00,1155.00
38,0.78,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,102.00,952.00,4080.00,986.00,34.00,340.00,4386.00,1020.00,578.00,3230.00,1020.00,1020.00,1020.00,1020.00,2244.00,1020.00,884.00,3366.00,1020.00,1020.00,646.00,1020.00,3638.00,1020.00,3162.00,782.00,986.00,238.00
39,0.78,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,3910.00,1020.00,1020.00,510.00,102.00,1020.00,646.00,884.00,102.00,2992.00,1020.00,714.00,4216.00,1020.00,1190.00,4318.00,1020.00,986.00,3468.00,1020.00,4012.00,1020.00,918.00,238.00,1020.00,1020.00,1020.00,1020.00
40,0.78,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,1020.00,986.00,1190.00,1020.00,1020.00,34.00,1020.00,986.00,1020.00,6120.00,34.00,34.00,1020.00,952.00,1020.00,1020.00,918.00,986.00,3978.00,918.00,3740.00,4114.00,442.00,1020.00,1020.00,1020.00,1020.00,3264.00
41,0.78,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,1020.00,34.00,374.00,170.00,102.00,340.00,1020.00,1020.00,884.00,442.00,1020.00,1020.00,3944.00,3740.00,1020.00,986.00,3638.00,1122.00,1020.00,986.00,782.00,1020.00,612.00,952.00,4250.00,34.00,1020.00,3026.00
42,0.78,1.05,1.07,1.46,2.34,3.67,1.07,2247.03,1.05,28,34.0,680.00,3672.00,1020.00,1020.00,510.00,3400.00,986.00,1020.00,1020.00,4080.00,3944.00,1020.00,952.00,3230.00,680.00,1020.00,3978.00,3162.00,986.00,3740.00,204.00,272.00,986.00,1020.00,952.00,3808.00,850.00,1020.00
