1,0.09,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,1000000000.00,20,20.0,2220.00,600.00,600.00,180.00,600.00,100.00,600.00,560.00,600.00,580.00,2480.00,20.00,600.00,300.00,600.00,600.00,20.00,580.00,600.00,320.00
40,0.78,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,910.00,780.00,780.00,780.00,780.00,754.00,780.00,26.00,780.00,728.00,78.00,3042.00,780.00,780.00,676.00,130.00,780.00,780.00,780.00,780.00,130.00,780.00,3068.00,52.00,780.00,26.00
41,0.79,0.96,0.87,0.96,1.26,0.79,0.87,0.96,0.86,26,26.0,780.00,2574.00,3094.00,390.00,754.00,780.00,208.00,780.00,780.00,780.00,780.00,780.00,78.00,2704.00,780.00,780.00,780.00,728.00,780.00,2808.00,858.00,806.00,754.00,780.00,3224.00,780.00
42,0.79,9.57,8.70,1.46,1.46,1.93,8.70,1.46,8.63,27,27.0,5994.00,3213.00,567.00,810.00,810.00,351.00,810.00,783.00,135.00,54.00,3348.00,3186.00,810.00,27.00,783.00,810.00,351.00,810.00,756.00,3483.00,891.00,27.00,648.00,3159.00,3051.00,3186.00,810.00
43,0.79,9.57,8.70,1.46,1.46,1.93,8.70,1.46,8.63,27,27.0,54.00,810.00,2700.00,945.00,810.00,540.00,513.00,3321.00,810.00,2673.00,3294.00,810.00,783.00,2916.00,945.00,810.00,297.00,513.00,810.00,810.00,324.00,810.00,810.00,27.00,810.00,540.00,810.00
44,0.79,9.57,8.70,1.46,1.46,1.93,8.70,1.46,8.63,27,27.0,810.00,810.00,540.00,3483.00,810.00,378.00,810.00,621.00,810.00,810.00,216.00,3429.00,486.00,810.00,3213.00,864.00,810.00,756.00,810.00,756.00,810.00,810.00,2565.00,351.00,540.00,27.00,27.00
45,0.80,9.57,8.70,1.46,1.46,1.93,8.70,1.46,8.63,27,27.0,783.00,783.00,756.00,783.00,270.00,810.00,783.00,810.00,810.00,810.00,3402.00,513.00,135.00,783.00,3348.00,810.00,783.00,810.00,810.00,810.00,810.00,783.00,810.00,351.00,810.00,810.00,216.00
46,0.80,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,780.00,754.00,780.00,572.00,806.00,3016.00,338.00,702.00,3016.00,780.00,598.00,780.00,780.00,52.00,780.00,780.00,52.00,780.00,780.00,312.00,2288.00,572.00,754.00,2574.00,780.00,2340.00
47,0.79,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,520.00,650.00,780.00,780.00,3172.00,26.00,624.00,754.00,780.00,52.00,780.00,780.00,780.00,754.00,5876.00,780.00,780.00,728.00,130.00,208.00,2860.00,806.00,364.00,3016.00,2782.00,780.00
48,0.80,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,442.00,2418.00,3198.00,780.00,572.00,156.00,780.00,910.00,780.00,780.00,2314.00,780.00,260.00,3250.00,2782.00,780.00,3042.00,780.00,728.00,780.00,780.00,754.00,780.00,2522.00,650.00,754.00
49,0.80,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,2600.00,780.00,754.00,78.00,806.00,130.00,780.00,780.00,754.00,2626.00,780.00,754.00,650.00,650.00,780.00,52.00,780.00,2730.00,2002.00,364.00,3458.00,780.00,780.00,3042.00,780.00,780.00
50,0.79,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,728.00,780.00,104.00,468.00,780.00,780.00,780.00,728.00,780.00,2236.00,26.00,5876.00,780.00,780.00,2236.00,780.00,754.00,2366.00,780.00,780.00,780.00,780.00,728.00,780.00,2860.00,728.00
51,0.80,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,754.00,780.00,780.00,208.00,2756.00,780.00,754.00,650.00,572.00,3224.00,52.00,2964.00,52.00,208.00,780.00,780.00,728.00,780.00,3250.00,468.00,780.00,234.00,182.00,780.00,832.00,780.00
52,0.80,0.53,0.58,1.46,1.46,1.93,0.58,1.46,0.56,26,26.0,3276.00,494.00,780.00,156.00,780.00,780.00,780.00,130.00,780.00,780.00,780.00,624.00,6500.00,780.00,780.00,806.00,780.00,572.00,728.00,780.00,26.00,3328.00,312.00,754.00,754.00,780.00
